t,x,f,X_fft,X_dft
3.6142578125,0.507356806984972,925.25,0.00000000000000000764055303549418,0.000000000000003093407385136988
3.61474609375,0.5175920754149597,925.375,0.0000000000000000066549180858024636,0.000000000000005402455215822382
3.615234375,0.527744583867858,925.5,0.000000000000000017467006204934672,0.000000000000007302353896407092
3.61572265625,0.5378101717401553,925.625,0.000000000000000016888457456298667,0.00000000000000518828390529739
3.6162109375,0.54778468625602,925.75,0.0000000000000000027038108435781634,0.000000000000005550827137291363
3.61669921875,0.5576639840490236,925.875,0.000000000000000015419277496259918,0.0000000000000030776396171661814
3.6171875,0.567443932745796,926,0.0000000000000000056118349529476605,0.000000000000004202581202394791
3.61767578125,0.5771204125508864,926.125,0.000000000000000008267665701938221,0.000000000000002285756924678345
3.6181640625,0.5866893178323909,926.25,0.000000000000000013849947653964443,0.000000000000005034047392236615
3.61865234375,0.5961465587075573,926.375,0.00000000000000000993756298981633,0.000000000000002585810518791152
3.619140625,0.6054880626281635,926.5,0.000000000000000014744771647487554,0.0000000000000021185081179761944
3.61962890625,0.6147097759646464,926.625,0.000000000000000012853072590564263,0.000000000000014210933183923207
3.6201171875,0.6238076655886593,926.75,0.000000000000000004892786785180282,0.000000000000006633730448728536
3.62060546875,0.6327777204534271,926.875,0.000000000000000018663873774977703,0.0000000000000029100687523157755
3.62109375,0.6416159531712468,927,0.0000000000000000290006346230157,0.0000000000000059923452954398796
3.62158203125,0.6503184015876814,927.125,0.000000000000000021109105928254162,0.000000000000002169712616212505
3.6220703125,0.6588811303516915,927.25,0.000000000000000027322109675217776,0.000000000000003462997250583946
3.62255859375,0.6673002324812556,927.375,0.000000000000000036835269186694476,0.000000000000002516737014614791
3.623046875,0.6755718309237885,927.5,0.00000000000000017320203174612366,0.00000000000003071297040220343
3.62353515625,0.683692080110918,927.625,0.00000000000000002797733648632078,0.000000000000006537016910530946
3.6240234375,0.6916571675068551,927.75,0.000000000000000029225627040673986,0.0000000000000048788980390798
3.62451171875,0.6994633151499217,927.875,0.000000000000000022716565169669622,0.000000000000001062012628135684
3.625,0.7071067811865384,928,0.000000000000000026346609375025924,0.000000000000004368874577187401
3.62548828125,0.7145838613972546,928.125,0.000000000000000013638223019035212,0.000000000000013349361258889193
3.6259765625,0.721890890714042,928.25,0.000000000000000012186096423529278,0.0000000000000009168428791590666
3.62646484375,0.7290242447284352,928.375,0.00000000000000001437378446303648,0.000000000000003766761332404738
3.626953125,0.7359803411898527,928.5,0.000000000000000005747411051327317,0.00000000000000541376511637557
3.62744140625,0.742755641493523,928.625,0.00000000000000003260024200947921,0.0000000000000031295863770542797
3.6279296875,0.749346652157664,928.75,0.00000000000000003610375864304647,0.000000000000004054099788888589
3.62841796875,0.7557499262889382,928.875,0.00000000000000004668450949996708,0.0000000000000005734038332310092
3.62890625,0.7619620650359965,929,0.00000000000000020346561193862356,0.000000000000020285059426264408
3.62939453125,0.7679797190303217,929.125,0.000000000000000040601228741362765,0.0000000000000063707371352503075
3.6298828125,0.7737995898140145,929.25,0.000000000000000036670779656321494,0.0000000000000045437109917422794
3.63037109375,0.7794184312537425,929.375,0.000000000000000037672902962436024,0.000000000000005490053374802893
3.630859375,0.7848330509404854,929.5,0.00000000000000002311172957753797,0.0000000000000026554476333021223
3.63134765625,0.7900403115743928,929.625,0.00000000000000002292744826455298,0.000000000000004299212690004789
3.6318359375,0.7950371323344012,929.75,0.000000000000000020994466668473337,0.0000000000000019982859934142913
3.63232421875,0.7998204902318398,929.875,0.000000000000000012191612910101398,0.0000000000000016695205801567822
3.6328125,0.8043874214476814,930,0.000000000000000009580795209048557,0.0000000000000010710423625965366
3.63330078125,0.8087350226527685,930.125,0.000000000000000019065278697169607,0.000000000000037318109897491064
3.6337890625,0.8128604523106874,930.25,0.000000000000000016374439866628985,0.000000000000004823595810375843
3.63427734375,0.8167609319625285,930.375,0.000000000000000013120016366597533,0.000000000000008497581029664446
3.634765625,0.8204337474932204,930.5,0.000000000000000013143781255681171,0.000000000000017735867573630445
3.63525390625,0.8238762503788067,930.625,0.000000000000000006375368195683755,0.000000000000009740023334921484
3.6357421875,0.8270858589142098,930.75,0.000000000000000006378471061984065,0.0000000000000048987973925390864
3.63623046875,0.830060059421133,930.875,0.000000000000000007059452805394122,0.000000000000006189425808783785
3.63671875,0.8327964074352855,931,0.00000000000000002253206509658739,0.0000000000000011318908756748056
3.63720703125,0.8352925288726921,931.125,0.0000000000000000026393021080600566,0.000000000000005923313315690533
3.6376953125,0.8375461211746628,931.25,0.000000000000000010342202418490021,0.000000000000004323326566869026
3.63818359375,0.8395549544307193,931.375,0.000000000000000009636560100563878,0.0000000000000031689655134696027
3.638671875,0.8413168724792139,931.5,0.000000000000000004219013437128645,0.000000000000002007906844085259
3.63916015625,0.8428297939851206,931.625,0.000000000000000009679009337816262,0.0000000000000026894384861949835
3.6396484375,0.8440917134944842,931.75,0.000000000000000006581237192661079,0.0000000000000040724717246298974
3.64013671875,0.8451007024652903,931.875,0.000000000000000022220649229506406,0.0000000000000011293195163434517
3.640625,0.8458549102740551,932,0.00000000000000002211168460696655,0.0000000000000023894657924128038
3.64111328125,0.8463525651979252,932.125,0.000000000000000028485803535336593,0.0000000000000085027838332708
3.6416015625,0.8465919753717097,932.25,0.0000000000000000294662604213635,0.0000000000000061081731247867435
3.64208984375,0.8465715297196545,932.375,0.000000000000000027763026842327326,0.000000000000003171797313166152
3.642578125,0.8462896988612846,932.5,0.00000000000000016258370219829344,0.000000000000007299658156886915
3.64306640625,0.8457450359911426,932.625,0.000000000000000038498614410263414,0.0000000000000010931680342989588
3.6435546875,0.8449361777318751,932.75,0.000000000000000031328884738555546,0.0000000000000024429634483158304
3.64404296875,0.8438618449605341,932.875,0.00000000000000003297818710313564,0.000000000000005343716857229494
3.64453125,0.8425208436073237,933,0.00000000000000003094424926502729,0.00000000000001888805744090699
3.64501953125,0.8409120654269792,933.125,0.000000000000000017575806252924662,0.00000000000000199838442014049
3.6455078125,0.8390344887418312,933.25,0.00000000000000002831307435706071,0.000000000000004448890974083481
3.64599609375,0.8368871791567672,933.375,0.000000000000000010853830766133504,0.0000000000000026053628369854115
3.646484375,0.8344692902453501,933.5,0.0000000000000000031435971605885453,0.000000000000016028651682840488
3.64697265625,0.8317800642070186,933.625,0.000000000000000010065662616224516,0.000000000000008488237147038232
3.6474609375,0.8288188324948947,933.75,0.00000000000000000973297268634044,0.0000000000000016249497652404937
3.64794921875,0.8255850164141202,933.875,0.000000000000000007496258532360403,0.0000000000000010398338915562483
3.6484375,0.8220781276901515,934,0.000000000000000018281914843738495,0.0000000000000019913507167972355
3.64892578125,0.8182977690069593,934.125,0.000000000000000016162821310187333,0.0000000000000033159238166503524
3.6494140625,0.8142436345146906,934.25,0.000000000000000023420218226157595,0.000000000000002463545312614345
3.64990234375,0.8099155103067633,934.375,0.000000000000000027064012758984632,0.000000000000005709614023799602
3.650390625,0.8053132748658577,934.5,0.00000000000000002026131697063225,0.000000000000004319481599551771
3.65087890625,0.8004368994787798,934.625,0.000000000000000023368663799519256,0.00000000000001989351805356888
3.6513671875,0.7952864486198972,934.75,0.000000000000000032083539119108646,0.000000000000017036946313754528
3.65185546875,0.7898620803028574,934.875,0.000000000000000020511050041970764,0.000000000000005486436552121472
3.65234375,0.7841640464005967,935,0.00000000000000014415776337965216,0.000000000000001502279382446611
3.65283203125,0.7781926929331704,935.125,0.000000000000000023616309712585242,0.0000000000000055471454141820785
3.6533203125,0.7719484603233643,935.25,0.000000000000000025580015372412363,0.0000000000000017469662472040288
3.65380859375,0.7654318836199544,935.375,0.000000000000000027575224854000705,0.0000000000000016280602084317116
3.654296875,0.758643592688393,935.5,0.000000000000000023756805302505902,0.000000000000006322356284755413
3.65478515625,0.7515843123687002,935.625,0.000000000000000018564690404451947,0.00000000000000027048122154189405
3.6552734375,0.7442548626005622,935.75,0.00000000000000002812333431149407,0.000000000000002276575608691222
3.65576171875,0.7366561585153488,935.875,0.00000000000000002019794601969683,0.000000000000005239576493949498
3.65625,0.7287892104951602,936,0.00000000000000001704451389083802,0.000000000000004209352597999024
3.65673828125,0.7206551241985121,936.125,0.000000000000000004516609646788777,0.000000000000003805452281511844
3.6572265625,0.7122551005527901,936.25,0.000000000000000005999932948530401,0.000000000000003255654809944539
3.65771484375,0.7035904357132231,936.375,0.000000000000000005256230951603119,0.000000000000000880885485778697
3.658203125,0.6946625209885227,936.5,0.000000000000000013727850984533838,0.000000000000006684281673283928
3.65869140625,0.6854728427328527,936.625,0.000000000000000024540129370083435,0.0000000000000002618156427775418
3.6591796875,0.6760229822043011,936.75,0.00000000000000002818335759135013,0.000000000000006209333781310473
3.65966796875,0.6663146153896526,936.875,0.0000000000000000055359070656650764,0.0000000000000009287166325456767
3.66015625,0.6563495127956529,937,0.000000000000000006077645579915743,0.000000000000006129049491891771
3.66064453125,0.6461295392064803,937.125,0.0000000000000000048644565572820325,0.0000000000000013596895980293603
3.6611328125,0.6356566534076329,937.25,0.000000000000000003851385229848978,0.000000000000005823468041347583
3.66162109375,0.6249329078761345,937.375,0.000000000000000003111734908470235,0.0000000000000989957802223887
3.662109375,0.6139604484371095,937.5,0.000000000000000013992033277844892,0.000000000000003742821057720956
3.66259765625,0.602741513886833,937.625,0.000000000000000006886278532540434,0.000000000000003743692355920832
3.6630859375,0.5912784355821321,937.75,0.000000000000000012700759109330103,0.000000000000003715565628628773
3.66357421875,0.5795736369963684,937.875,0.000000000000000008750611091272901,0.00000000000000802669073258336
3.6640625,0.56762963324192,938,0.00000000000000001980055190721835,0.00000000000000760862149470615
3.66455078125,0.555449030559451,938.125,0.000000000000000011038103267657575,0.0000000000000019368966879088755
3.6650390625,0.5430345257738045,938.25,0.000000000000000014203183134700316,0.00000000000000627355465046614
3.66552734375,0.5303889057168261,938.375,0.000000000000000019281158406560407,0.000000000000002875982630152148
3.666015625,0.517515046617087,938.5,0.000000000000000026092063355612867,0.000000000000039402836175036126
3.66650390625,0.5044159134568313,938.625,0.000000000000000017565561346400934,0.000000000000003875109103376295
3.6669921875,0.4910945592960376,938.75,0.00000000000000001764186960171685,0.0000000000000029755962094686848
3.66748046875,0.4775541245639484,938.875,0.000000000000000006021254495022283,0.000000000000011845404873349076
3.66796875,0.463797836318082,939,0.0000000000000000015428908166970505,0.000000000000005602942723706854
3.66845703125,0.4498290074710959,939.125,0.000000000000000008713565163940238,0.0000000000000017261498938007349
3.6689453125,0.43565103598544397,939.25,0.000000000000000008278399868257362,0.000000000000003823835628572722
3.66943359375,0.42126740403622454,939.375,0.000000000000000005334243951319998,0.00000000000001101628741335935
3.669921875,0.40668167714227665,939.5,0.0000000000000000033444019492571847,0.0000000000000017094675088144927
3.67041015625,0.3918975032659576,939.625,0.000000000000000012082823750641965,0.0000000000000020797949313853357
3.6708984375,0.3769186118815492,939.75,0.000000000000000008963713212603535,0.000000000000009504200886553153
3.67138671875,0.36174881301277684,939.875,0.0000000000000000063613543809728014,0.0000000000000012996318565432902
3.671875,0.3463919962395914,940,0.000000000000000004723495052535373,0.0000000000000055142465841634515
3.67236328125,0.3308521296744421,940.125,0.000000000000000002866141366281298,0.00000000000000589854111319794
3.6728515625,0.3151332589084833,940.25,0.00000000000000000891542081594761,0.000000000000006088772842669608
3.67333984375,0.29923950592778104,940.375,0.0000000000000000029264463057521554,0.000000000000004605541806931772
3.673828125,0.28317506799999503,940.5,0.000000000000000010596100690168325,0.000000000000006572991394959266
3.67431640625,0.26694421653172007,940.625,0.00000000000000001074542005457588,0.000000000000008188235359892145
3.6748046875,0.2505512958969729,940.75,0.000000000000000012919968705867149,0.000000000000005871991910998096
3.67529296875,0.23400072223695023,940.875,0.0000000000000000126903664738124,0.000000000000016111092932342242
3.67578125,0.21729698223156468,941,0.00000000000000001502144576257109,0.0000000000000016324533911389506
3.67626953125,0.20044463184299333,941.125,0.00000000000000001287683017741612,0.0000000000000023969328885473875
3.6767578125,0.1834482950317573,941.25,0.000000000000000002127655913314509,0.0000000000000020205626074772518
3.67724609375,0.1663126624455118,941.375,0.000000000000000013371178324842681,0.000000000000004328196776180934
3.677734375,0.14904249008108605,941.5,0.000000000000000019622336266557775,0.000000000000006319773014962157
3.67822265625,0.1316425979200424,941.625,0.000000000000000018337264474976286,0.000000000000004043379000461256
3.6787109375,0.11411786853837791,941.75,0.000000000000000026081960520388214,0.0000000000000024550745467767138
3.67919921875,0.0964732456904186,941.875,0.000000000000000020798166352594304,0.000000000000001989868903607746
3.6796875,0.07871373286771521,942,0.000000000000000009102019281950774,0.000000000000002353515237367541
3.68017578125,0.06084439183308976,942.125,0.0000000000000000029430113562262272,0.000000000000002771206502070333
